# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
kan ba 	看吧	c=8 d=1 t=559831
kan ban 	看板	c=39 d=1 t=733643
kan ban di zhi 	看板地址	c=1 d=1 t=257872
kan bao cuo 	看報錯	c=2 d=1 t=484413
kan bi 	堪比	c=1 d=1 t=90553
kan bing 	看病	c=3 d=1 t=733642
kan bu chong 	看補充	c=1 d=1 t=718824
kan bu chu 	看不出	c=5 d=1 t=707380
kan bu chu a li 	看不出啊裏	c=1 d=1 t=256498
kan bu chu lai 	看不出來	c=15 d=1.42741 t=744046
kan bu dao 	看不到	c=65 d=1 t=739837
kan bu dong 	看不懂	c=25 d=1.37531 t=740071
kan bu dong ya 	看不懂呀	c=1 d=1 t=707750
kan bu guan 	看不慣	c=1 d=1 t=276964
kan bu le 	看不了	c=2 d=1 t=436852
kan bu qing chu 	看不清楚	c=3 d=1 t=735710
kan bu shang 	看不上	c=2 d=1 t=309732
kan bu tai 	看不太	c=4 d=1 t=651251
kan bu tai dong 	看不太懂	c=4 d=1 t=669710
kan bu wan 	看不完	c=1 d=1 t=115895
kan bu xia qu 	看不下去	c=1 d=1 t=674629
kan ce 	勘測	c=1 d=1 t=550188
kan chang gui 	看常規	c=1 d=1 t=666916
kan chang jing 	看場景	c=2 d=1 t=705671
kan chu 	看出	c=4 d=1 t=737504
kan chu lai 	看出來	c=23 d=1 t=743129
kan cuo 	看錯	c=19 d=1 t=714105
kan dai 	看待	c=17 d=1 t=677327
kan dao 	看到	c=503 d=1.00119 t=745113
kan dao guo 	看到過	c=7 d=1 t=745102
kan dao le 	看到了	c=6 d=1 t=621373
kan dao zhe me 	看到這麼	c=1 d=1 t=344151
kan de 	看的	c=2 d=1 t=623727
kan de chu lai 	看得出來	c=8 d=1 t=695157
kan de shang 	看得上	c=2 d=1 t=597739
kan diao 	砍掉	c=9 d=1 t=734376
kan dong 	看懂	c=39 d=1 t=737389
kan dong ge 	看懂個	c=1 d=1 t=519028
kan duo 	看多	c=1 d=1 t=480769
kan fa 	刊發	c=1 d=1 t=164160
kan fa 	看法	c=16 d=1 t=715342
kan fan 	看飯	c=2 d=1 t=342315
kan fang 	看房	c=1 d=1 t=209550
kan ge 	看個	c=4 d=1 t=675976
kan guo 	看過	c=39 d=1 t=745144
kan guo zhe ge 	看過這個	c=1 d=1 t=176163
kan hao 	看好	c=7 d=1 t=722459
kan hu 	看護	c=1 d=1 t=610103
kan hua 	看花	c=1 d=1 t=741966
kan hua le 	看花了	c=1 d=1 t=194100
kan jian li 	看簡歷	c=1 d=1 t=90891
kan kan 	看看	c=1697 d=1.5482 t=744698
kan kan ba 	看看吧	c=2 d=1 t=284016
kan kan na 	看看那	c=1 d=1 t=87084
kan kan ta men 	看看他們	c=1 d=1 t=739966
kan kan xin 	看看新	c=1 d=1 t=7987
kan kan zhe ge 	看看這個	c=3 d=1 t=738664
kan ke 	坎坷	c=1 d=1 t=435826
kan lai 	看來	c=82 d=1 t=736502
kan le 	看了	c=111 d=1.00041 t=743628
kan le 	砍了	c=3 d=1.03976 t=508143
kan le kan 	看了看	c=23 d=1.90484 t=740093
kan le kan na 	看了看那	c=1 d=1 t=100687
kan le yi xia 	看了一下	c=3 d=1 t=31222
kan lv guo 	看濾過	c=1 d=1 t=404852
kan ming bai 	看明白	c=1 d=1 t=741030
kan na 	看那	c=0 d=0.1 t=100686
kan ni 	看你	c=3 d=1 t=696325
kan ni men 	看你們	c=1 d=1 t=79120
kan pan 	看盤	c=1 d=1 t=697096
kan qi 	看起	c=1 d=0.1 t=738987
kan qi ba 	看起吧	c=1 d=1 t=738988
kan qi lai 	看起來	c=224 d=1.23595 t=745007
kan qi lai hai 	看起來還	c=1 d=1 t=685423
kan qi lai shi 	看起來是	c=2 d=1 t=678848
kan qing 	看清	c=1 d=1 t=160030
kan qing chu 	看清楚	c=2 d=1 t=262188
kan qing kuang 	看情況	c=25 d=1 t=711873
kan ri zhi 	看日誌	c=2 d=1 t=577474
kan shang 	看上	c=2 d=1 t=623271
kan shang qu 	看上去	c=1 d=1 t=684644
kan shen me 	看什麼	c=1 d=1 t=424365
kan shi 	看是	c=1 d=1 t=606364
kan shi chang 	看市場	c=1 d=1 t=383979
kan shu 	看書	c=2 d=1 t=315743
kan shu ju 	看數據	c=1 d=1 t=519649
kan si 	砍死	c=1 d=1 t=340389
kan ta 	看他	c=3 d=1 t=568241
kan tu 	看圖	c=1 d=1 t=641939
kan tuan dui 	看團隊	c=1 d=1 t=11072
kan wa 	看哇	c=1 d=1 t=427333
kan wan 	看完	c=28 d=1 t=727106
kan wan le 	看完了	c=1 d=1 t=99390
kan wen dang 	看文檔	c=1 d=1 t=224258
kan wo 	看我	c=10 d=1 t=730171
kan wo na 	看我那	c=1 d=1 t=256713
kan xia lai 	看下來	c=23 d=1 t=729698
kan xia mian 	看下面	c=1 d=1 t=231554
kan xia zhou yi 	看下週一	c=1 d=1 t=646858
kan xu qiu 	看需求	c=1 d=1 t=610962
kan ya 	看牙	c=1 d=1 t=166341
kan yang zi 	看樣子	c=20 d=1 t=736866
kan yao qing 	看邀請	c=1 d=1 t=588972
kan yi bian 	看一遍	c=1 d=1 t=41596
kan yi fu hua 	看一幅畫	c=1 d=1 t=711774
kan yi yan 	看一眼	c=1 d=1 t=104090
kan you 	堪憂	c=2 d=1 t=325520
kan yuan yin 	看原因	c=1 d=1 t=41530
kan zhe 	看着	c=5 d=1 t=740137
kan zhe 	看這	c=1 d=1 t=262841
kan zhe ge 	看這個	c=1 d=1 t=352718
kan zhe ge tu 	看這個圖	c=1 d=1 t=268869
kan zhe li mian 	看這裏面	c=1 d=1 t=500401
kan zhong 	看中	c=2 d=1 t=533721
kan zhong 	看重	c=14 d=1 t=704323
kan zhong chang qi 	看中長期	c=1 d=1 t=461862
kan zuo 	看作	c=1 d=1 t=685055
kang 	康	c=1 d=1 t=486482
kang 	抗	c=4 d=1 t=660957
kang bu zhu 	扛不住	c=4 d=1 t=414941
kang guo qu 	扛過去	c=2 d=1 t=677319
kang ju 	抗拒	c=3 d=1 t=664671
kang ka jiang 	抗卡將	c=1 d=1 t=520355
kang kai ji ang 	慷慨激昂	c=1 d=1 t=520356
kang kang kang 	康康康	c=2 d=1 t=744484
kang kang kang kang 	康康康康	c=1 d=1.09501 t=744484
kang kang kang kang kan 	康康康康看	c=1 d=1 t=744485
kang ti 	抗體	c=2 d=1 t=698144
kang wei 	康威	c=1 d=1 t=631297
kang wei ding lv 	康威定律	c=1 d=1 t=109757
kang ya 	抗壓	c=7 d=1.9973 t=435744
kang yi 	抗疫	c=2 d=1 t=666491
kang yuan 	抗原	c=6 d=1 t=685810
kang zhu 	抗住	c=1 d=1 t=18812
kao 	考	c=7 d=1 t=691847
kao 	靠	c=43 d=1 t=739594
kao bu guo 	考不過	c=1 d=1 t=165301
kao ca han 	靠擦汗	c=1 d=1 t=158179
kao cha 	考察	c=82 d=1 t=737359
kao cha 	考查	c=3 d=1 t=542402
kao cha guo 	考察過	c=1 d=1 t=482298
kao cha qi 	考察期	c=1 d=1 t=537082
kao chang 	考場	c=1 d=1 t=360106
kao he 	考覈	c=11 d=1.83946 t=695378
kao ji 	考級	c=1 d=1 t=641442
kao jin 	靠近	c=2 d=1.011 t=297978
kao kao 	考考	c=1 d=1 t=360050
kao la 	考拉	c=9 d=3.32763 t=189825
kao liang 	考量	c=2 d=1 t=702832
kao lv 	考慮	c=820 d=1.00003 t=744059
kao lv an pao 	考慮按跑	c=1 d=1 t=325198
kao lv da 	考慮大	c=1 d=1 t=41019
kao lv dao 	考慮到	c=21 d=1 t=721521
kao lv dian 	考慮點	c=1 d=1 t=599964
kao lv guo 	考慮過	c=27 d=1 t=728208
kao lv hao 	考慮好	c=3 d=1 t=659168
kao lv kao lv 	考慮考慮	c=2 d=1 t=303780
kao lv ma 	考慮嗎	c=1 d=1 t=119835
kao ni 	靠你	c=3 d=0.1 t=412427
kao ni le 	靠你了	c=1 d=1 t=412428
kao pu 	靠譜	c=33 d=1 t=731858
kao pu de 	靠譜的	c=1 d=1 t=550286
kao qian 	靠前	c=2 d=1 t=727295
kao qin 	考勤	c=7 d=1 t=579644
kao qin zu 	考勤組	c=1 d=1 t=405701
kao sha 	靠啥	c=1 d=1 t=607296
kao shi 	考試	c=11 d=2.46759 t=692710
kao yan 	考研	c=1 d=1 t=474209
kao yan 	考驗	c=6 d=1 t=306527
kao yan fa 	靠研發	c=1 d=1 t=591667
kao zi ji 	靠自己	c=1 d=1 t=338444
ke 	克	c=1 d=1 t=21674
ke 	刻	c=1 d=1 t=557907
ke 	可	c=68 d=1 t=740976
ke 	客	c=14 d=1 t=734325
ke 	棵	c=5 d=1 t=191464
ke 	殼	c=5 d=1 t=664617
ke 	渴	c=1 d=1 t=296454
ke 	珂	c=3 d=1 t=203366
ke 	磕	c=1 d=1 t=468738
ke 	課	c=5 d=1.65051 t=654245
ke ban 	刻板	c=1 d=1 t=611231
ke ban 	刻版	c=4 d=1 t=399081
ke ban 	科班	c=4 d=1 t=410170
ke ban chu shen 	科班出身	c=1 d=1 t=132026
ke bei 	可被	c=1 d=1 t=547606
ke ben 	課本	c=1 d=1 t=516329
ke bian 	可變	c=0 d=0.1 t=288692
ke bian ji 	可編輯	c=1 d=1 t=10485
ke bian zi ti 	可變字體	c=1 d=1 t=288693
ke bu 	可不	c=1 d=1 t=559775
ke bu ke xing 	可不可行	c=1 d=1 t=367946
ke bu ke yi 	可不可以	c=1 d=1 t=265744
ke bu neng 	可不能	c=0 d=0.1 t=160992
ke bu neng bu 	可不能不	c=1 d=1 t=160993
ke bu shi 	可不是	c=3 d=1 t=661509
ke bu yao 	可不要	c=1 d=1 t=70696
ke cheng 	課程	c=93 d=1.0034 t=668787
ke cheng biao 	課程表	c=3 d=2.57958 t=610189
ke chi xu 	可持續	c=2 d=1 t=590909
ke da 	可達	c=1 d=1 t=591082
ke da 	科大	c=0 d=0.1 t=30778
ke dai biao 	課代表	c=3 d=1 t=604183
ke du 	可讀	c=1 d=1 t=362568
ke du xing 	可讀性	c=2 d=1 t=656505
ke en 	科恩	c=0 d=0.1 t=66153
ke en na ge 	科恩那個	c=4 d=1 t=669774
ke eng 	可嗯	c=1 d=1 t=230802
ke fu 	克服	c=1 d=0.1 t=513268
ke fu 	客服	c=15 d=1 t=660882
ke fu dian hua 	客服電話	c=1 d=1 t=323379
ke fu le 	克服了	c=1 d=1 t=513269
ke fu yong 	可服用	c=1 d=1 t=266620
ke gei 	可給	c=1 d=1 t=598074
ke gua 	磕瓜	c=1 d=1 t=89539
ke guan 	可觀	c=1 d=1 t=704372
ke guan 	客觀	c=58 d=1 t=730305
ke guan ce 	可觀測	c=13 d=1 t=612332
ke guan shang 	客觀上	c=1 d=1 t=441204
ke guan shi shi 	客觀事實	c=1 d=1 t=105233
ke hou 	課後	c=4 d=1 t=245969
ke hou ti 	課後題	c=1 d=1 t=10471
ke hu 	客戶	c=228 d=1.23931 t=738488
ke hu duan 	客戶端	c=199 d=1.90937 t=745151
ke hu jing li 	客戶經理	c=1 d=1 t=268205
ke hu qun 	客戶羣	c=1 d=1 t=39497
ke hu yong 	客戶用	c=1 d=1 t=158590
ke hua 	刻畫	c=1 d=1 t=484456
ke ji 	科技	c=47 d=1 t=699243
ke ji da xue 	科技大學	c=1 d=1 t=115885
ke ji gan 	科技感	c=1 d=1 t=115960
ke ji hua 	科技話	c=1 d=1 t=347557
ke ji lv zhou 	科技綠洲	c=30 d=1 t=625926
ke jia 	可嘉	c=1 d=0.1 t=713100
ke jian 	可見	c=7 d=1 t=568912
ke jian 	課件	c=3 d=1 t=423831
ke jian 	課間	c=1 d=1 t=670521
ke jian xing 	可见性	c=1 d=1 t=688900
ke jiao hu 	可交互	c=1 d=1 t=676172
ke kao 	可靠	c=11 d=1 t=671848
ke kao xing 	可靠性	c=1 d=1 t=742874
ke ke 	苛刻	c=1 d=1 t=25806
ke ke ban ban 	磕磕絆絆	c=2 d=1 t=454041
ke kong 	可控	c=20 d=1 t=726323
ke kong xin 	可控新	c=4 d=1 t=516162
ke kong zhi 	可控制	c=1 d=1 t=220800
ke kou 	可口	c=1 d=1 t=135970
ke kou ke le 	可口可樂	c=1 d=1 t=521284
ke kuo zhan 	可擴展	c=1 d=1 t=446163
ke la ke 	克拉克	c=0 d=0.1 t=211121
ke la ke sen 	克拉克森	c=1 d=1 t=211122
ke le 	可樂	c=3 d=1 t=449505
ke lian 	可憐	c=1 d=1 t=551350
ke ne eng 	可呢嗯	c=1 d=1 t=128609
ke ne guan xi 	可呢關係	c=1 d=1 t=305008
ke neng 	可能	c=1643 d=3.05063 t=744568
ke neng bu zai 	可能不再	c=1 d=1 t=720253
ke neng cun zai 	可能存在	c=1 d=1 t=509541
ke neng hu kou 	可能戶口	c=1 d=1 t=286776
ke neng jiu 	可能就	c=1 d=1 t=721512
ke neng ne ge 	可能呢個	c=26 d=1 t=735555
ke neng ne geng xin 	可能呢更新	c=1 d=1 t=403984
ke neng ni 	可能你	c=2 d=1 t=672672
ke neng qu 	可能去	c=1 d=1 t=250795
ke neng shi 	可能是	c=2 d=1 t=199948
ke neng xing 	可能性	c=64 d=1 t=733876
ke neng xu yao 	可能需要	c=1 d=1 t=384838
ke pa 	可怕	c=1 d=1 t=482992
ke pu 	科普	c=16 d=1 t=744181
ke qi 	客氣	c=16 d=1 t=733446
ke qian 	課前	c=1 d=1 t=245967
ke qu 	可取	c=2 d=1 t=685418
ke ren 	客人	c=2 d=1.99005 t=301300
ke shi 	可是	c=2 d=1 t=678701
ke shi 	課時	c=3 d=1 t=326401
ke shi hu 	可是戶	c=1 d=1 t=8391
ke shi hua 	可視化	c=69 d=1 t=728825
ke shi wo 	可是我	c=1 d=1 t=729565
ke shu 	棵樹	c=0 d=0.1 t=457146
ke shuo 	可說	c=1 d=1 t=654169
ke sou 	咳嗽	c=5 d=1 t=700907
ke sou suo 	可搜索	c=1 d=1 t=616754
ke tai 	可太	c=1 d=1 t=408231
ke tang 	課堂	c=4 d=0.1 t=397677
ke ti 	課題	c=2 d=1 t=665597
ke ting 	客廳	c=2 d=1 t=685348
ke wai 	課外	c=1 d=1 t=253732
ke wei hu xing 	可維護性	c=6 d=1 t=681706
ke xi 	可喜	c=1 d=1 t=164645
ke xi 	可惜	c=23 d=1 t=727509
ke xi gai 	磕膝蓋	c=1 d=1 t=650908
ke xin 	可信	c=7 d=1 t=606619
ke xin du 	可信度	c=1 d=1 t=661707
ke xing 	可行	c=75 d=1.9324 t=729971
ke xing bu 	可行不	c=1 d=1 t=37821
ke xing ma 	可行嗎	c=1 d=1 t=350938
ke xing xing 	可行性	c=16 d=1 t=727733
ke xuan 	可選	c=38 d=1.0696 t=740938
ke xuan xiang 	可選項	c=3 d=1 t=229001
ke xue 	科學	c=6 d=1 t=666365
ke xue jia 	科學家	c=1 d=1 t=377944
ke yao 	可要	c=1 d=1 t=70695
ke yi 	刻意	c=25 d=1.00592 t=680290
ke yi 	可以	c=5469 d=1.98345 t=745228
ke yi ba 	可以吧	c=1 d=1 t=224218
ke yi ba 	可以把	c=3 d=1 t=616074
ke yi bang mang 	可以幫忙	c=1 d=1 t=327954
ke yi bian yi 	可以編譯	c=1 d=1 t=78442
ke yi bu 	可以不	c=1 d=1 t=559777
ke yi chu li 	可以處理	c=1 d=1 t=76991
ke yi da 	可以打	c=1 d=1 t=585426
ke yi dai lai 	可以帶來	c=1 d=1 t=51863
ke yi diao yan 	可以調研	c=1 d=1 t=549232
ke yi ding yi 	可以定義	c=1 d=1 t=689314
ke yi du li 	可以獨立	c=1 d=1 t=240928
ke yi dui wai 	可以對外	c=1 d=1 t=91542
ke yi fa 	可以發	c=3 d=1 t=725785
ke yi fang wen 	可以訪問	c=1 d=1 t=195889
ke yi gai 	可以改	c=1 d=1 t=713004
ke yi gao 	可以搞	c=3 d=1 t=341725
ke yi gei 	可以給	c=2 d=1 t=285851
ke yi gen 	可以跟	c=1 d=1 t=392146
ke yi he bing 	可以合併	c=1 d=1 t=690567
ke yi he bing dao 	可以合併到	c=1 d=1 t=724460
ke yi hu lve 	可以忽略	c=2 d=1 t=627398
ke yi huo qu 	可以獲取	c=1 d=1 t=686469
ke yi jiang di 	可以降低	c=1 d=1 t=512528
ke yi jie jue 	可以解決	c=1 d=1 t=155458
ke yi jie shi 	可以解釋	c=1 d=1 t=89293
ke yi jin yi bu 	可以進一步	c=1 d=1 t=701272
ke yi kai shi 	可以開始	c=1 d=1 t=127946
ke yi kan dao 	可以看到	c=1 d=1 t=389332
ke yi kao lv 	可以考慮	c=1 d=1 t=80198
ke yi le 	可以了	c=1 d=1 t=271011
ke yi liao jie 	可以瞭解	c=1 d=1 t=116319
ke yi ma 	可以嗎	c=3 d=1 t=361990
ke yi man zu 	可以滿足	c=1 d=1 t=693768
ke yi pei zhi 	可以配置	c=1 d=1 t=45411
ke yi qu 	可以去	c=5 d=1 t=458245
ke yi que ren 	可以確認	c=1 d=1 t=372344
ke yi rang ta 	可以讓他	c=1 d=1 t=502256
ke yi shen qing 	可以申請	c=1 d=1 t=163141
ke yi shuang xiang 	可以雙向	c=1 d=1 t=400239
ke yi shuo 	可以說	c=2 d=1 t=320384
ke yi shuo shi 	可以說是	c=1 d=1 t=112549
ke yi ti jiao 	可以提交	c=1 d=1 t=453838
ke yi ti qian 	可以提前	c=1 d=1 t=582325
ke yi tuo li 	可以脫離	c=1 d=1 t=465076
ke yi ya 	可以呀	c=7 d=1 t=548505
ke yi yong 	可以用	c=3 d=1 t=216838
ke yi zai 	可以在	c=1 d=1 t=46415
ke yi zhuan 	可以轉	c=1 d=1 t=319824
ke yi zhuan fa 	可以轉發	c=1 d=1 t=105760
ke yi zi dong 	可以自動	c=1 d=1 t=685215
ke yi zi ji 	可以自己	c=1 d=1 t=394741
ke yong 	可用	c=9 d=1 t=709688
ke yong xin 	可用新	c=1 d=1 t=378343
ke yong xing 	可用性	c=10 d=1.41271 t=635373
ke zhi 	剋制	c=1 d=1 t=142459
ke zhui su 	可追溯	c=1 d=1 t=369964
ke zhuo 	課桌	c=1 d=1 t=608311
kei 	剋	c=2 d=1 t=178153
kei yi 	剋意	c=5 d=1 t=639116
ken 	啃	c=1 d=1 t=399826
ken 	肯	c=8 d=1 t=592108
ken bu ken 	肯不肯	c=2 d=1 t=172109
ken de ji 	肯德基	c=1 d=1 t=317328
ken ding 	肯定	c=221 d=1 t=744438
ken ding lai 	肯定來	c=1 d=1 t=34700
ken ding shi 	肯定是	c=2 d=1 t=702160
ken ding you 	肯定有	c=1 d=1 t=166132
ken en 	肯恩	c=4 d=1 t=680313
ken en eng 	肯恩嗯	c=1 d=1 t=182628
ken en ge 	肯恩個	c=15 d=1 t=674300
ken en na ge 	肯恩那個	c=3 d=1 t=394766
ken neng 	肯能	c=12 d=1 t=682751
ken shou 	肯收	c=1 d=1 t=580216
keng 	坑	c=56 d=1 t=705079
keng chi 	吭哧	c=2 d=1.99501 t=204119
keng chi keng chi 	吭哧吭哧	c=2 d=1 t=743149
keng le 	坑了	c=1 d=1 t=122566
keng nei 	坑內	c=1 d=1 t=507512
kong 	孔	c=7 d=1 t=323625
kong 	控	c=3 d=2.8606 t=663803
kong 	空	c=103 d=1 t=745050
kong bai 	空白	c=29 d=1 t=702733
kong chu lai 	空出來	c=2 d=1 t=156683
kong dang dang 	空蕩蕩	c=1 d=1 t=264369
kong dong 	空洞	c=1 d=1.07045 t=515968
kong ge 	空格	c=39 d=1 t=740136
kong gu 	控股	c=4 d=1 t=139083
kong hang 	空行	c=4 d=1 t=720896
kong he zi 	空盒子	c=1 d=1 t=347249
kong jia 	孔嘉	c=1 d=1 t=324549
kong jian 	控件	c=3 d=1 t=313696
kong jian 	空間	c=215 d=1 t=737169
kong jiang 	空降	c=4 d=1 t=401405
kong ju 	恐懼	c=3 d=1 t=522757
kong kong 	空空	c=1 d=1 t=35961
kong le 	空了	c=3 d=1 t=319903
kong nan 	空難	c=1 d=1 t=211106
kong qi 	空氣	c=3 d=1 t=636888
kong que 	空缺	c=3 d=1 t=359742
kong que yuan 	孔雀園	c=1 d=1 t=624422
kong tiao 	空調	c=2 d=1.956 t=204688
kong wei 	空位	c=2 d=1 t=314215
kong xian 	空閒	c=4 d=1 t=728303
kong xiang 	空想	c=0 d=0.1 t=24379
kong xiang ma 	空想嗎	c=1 d=1 t=24380
kong yi hang 	空一行	c=9 d=1.93239 t=738344
kong yu 	空餘	c=6 d=1 t=598228
kong zhe 	空着	c=7 d=1 t=424878
kong zhi 	控制	c=134 d=1.003 t=744363
kong zhi hao 	控制好	c=9 d=1 t=713828
kong zhi li 	控制力	c=2 d=1 t=221872
kong zhi mian 	控制面	c=41 d=1 t=717938
kong zhi tai 	控制檯	c=17 d=1 t=743659
kong zhi zai 	控制在	c=4 d=1 t=711121
kong zhong 	空中	c=0 d=0.1 t=397677
kong zhong ke tang 	空中課堂	c=1 d=1 t=397678
kou 	口	c=4 d=1 t=685374
kou 	釦	c=3 d=1 t=122411
kou bei 	口碑	c=51 d=1 t=713569
kou bu chu lai 	口不出來	c=1 d=1 t=333210
kou chi 	口吃	c=1 d=1 t=30780
kou chu 	扣除	c=4 d=1.00005 t=570495
kou chu lai 	摳出來	c=7 d=1 t=740010
kou feng 	口風	c=1 d=1 t=107614
kou gong 	口供	c=1 d=1 t=713228
kou hao 	口號	c=1 d=1 t=543644
kou jiao 	口角	c=1 d=1 t=81950
kou jing 	口徑	c=45 d=1.00227 t=740610
kou jing he 	口徑和	c=1 d=1 t=664801
kou kong 	口空	c=1 d=1 t=713227
kou men 	摳門	c=2 d=1 t=738648
kou qian 	扣錢	c=1 d=1 t=293289
kou qiang 	口腔	c=2 d=1.9802 t=593195
kou qiang kui yang 	口腔潰瘍	c=1 d=1 t=541390
kou shang 	扣上	c=1 d=1 t=666410
kou shu 	口述	c=4 d=1 t=497531
kou shui 	扣稅	c=3 d=1 t=450278
kou shui zhan 	口水戰	c=1 d=1 t=161031
kou tou 	口頭	c=3 d=1 t=436527
kou tou chan 	口頭禪	c=3 d=1 t=567502
kou tou shang 	口頭上	c=1 d=1 t=318761
kou wan 	扣完	c=1 d=1 t=618852
kou wei 	口味	c=2 d=1 t=713914
kou xia 	扣下	c=1 d=1 t=372060
kou yu 	口語	c=4 d=1 t=462172
kou zhao 	口罩	c=2 d=1 t=594041
kou zhong 	口中	c=1 d=1 t=259041
ku 	哭	c=4 d=1.98511 t=613344
ku 	庫	c=124 d=1 t=737740
ku 	酷	c=1 d=1 t=614691
ku ai 	酷愛	c=1 d=1 t=526269
ku an na 	圣安娜	c=1 d=1 t=100964
ku cun 	庫存	c=2 d=1 t=70014
ku jin gan lai 	苦盡甘來	c=1 d=1 t=57510
ku lao 	苦勞	c=1 d=1 t=632986
ku li 	苦力	c=2 d=1 t=218976
ku ming 	苦命	c=0 d=0.1 t=280023
ku ming ren 	苦命人	c=1 d=1 t=280024
ku nao 	苦惱	c=1 d=1 t=522083
ku ri zi 	苦日子	c=1 d=1 t=303110
ku xuan 	酷炫	c=1 d=1 t=269758
ku yu 	苦於	c=1 d=1 t=138474
ku zao 	枯燥	c=1 d=1 t=637218
ku zhong 	苦衷	c=1 d=1 t=586343
ku zi 	褲子	c=1 d=1 t=733003
kua 	跨	c=79 d=1 t=722503
kua biao 	跨表	c=1 d=1 t=633965
kua bu men 	跨部門	c=10 d=1 t=529608
kua da 	誇大	c=56 d=1 t=535846
kua di yu 	跨地域	c=2 d=1 t=590177
kua du 	跨度	c=1 d=1 t=341254
kua duan 	跨端	c=283 d=1.95123 t=722512
kua duan fang xiang 	跨端方向	c=1 d=1 t=145090
kua fen zhi 	跨分支	c=1 d=1 t=323743
kua fu wu 	跨服務	c=1 d=1 t=11269
kua guo 	跨國	c=2 d=1 t=452209
kua guo 	跨過	c=1 d=1 t=262469
kua jie 	跨界	c=4 d=1 t=544188
kua jing 	跨境	c=2 d=1 t=614830
kua jing zhi fu 	跨境支付	c=2 d=1.66365 t=75885
kua ke 	夸克	c=1 d=1 t=7907
kua kua 	誇誇	c=1 d=1 t=397426
kua liu lan qi 	跨瀏覽器	c=1 d=1 t=691581
kua mo kuai 	跨模塊	c=1 d=1 t=685841
kua ping 	跨平	c=1 d=1 t=229889
kua ping tai 	跨平臺	c=25 d=1.26185 t=469076
kua qu yu 	跨區域	c=1 d=1 t=375766
kua shu ju ji 	跨數據集	c=1 d=1 t=549585
kua su 	跨素	c=1 d=1 t=170063
kua tuan dui 	跨團隊	c=21 d=1 t=742621
kua xiang mu 	跨項目	c=1 d=1 t=26029
kua yu 	跨於	c=4 d=1 t=379338
kua yu yan 	跨語言	c=2 d=1 t=359798
kua yue 	跨越	c=0 d=0.1 t=525697
kua yue dao 	跨越到	c=1 d=1 t=525698
kua zhang 	誇張	c=12 d=1 t=739471
kua zu 	跨組	c=1 d=1 t=338017
kuai 	塊	c=25 d=1 t=648183
kuai 	快	c=128 d=1 t=737937
kuai bao 	快報	c=1 d=1 t=81095
kuai bei 	快被	c=2 d=1 t=340388
kuai dao 	快到	c=2 d=1 t=657884
kuai di 	快遞	c=22 d=1 t=613659
kuai dian 	快點	c=2 d=1 t=118873
kuai dian er 	快點兒	c=3 d=1 t=659898
kuai er 	塊兒	c=2 d=1 t=330398
kuai fa 	快發	c=1 d=1 t=139654
kuai guo 	快過	c=0 d=0.199501 t=716874
kuai guo ni 	快過你	c=1 d=1 t=716874
kuai guo nian 	快過年	c=1 d=1 t=716875
kuai hao le 	快好了	c=1 d=1 t=698132
kuai jie jian 	快捷鍵	c=4 d=1 t=695890
kuai jie shu 	快結束	c=3 d=1 t=337031
kuai le 	快了	c=2 d=1 t=575262
kuai le 	快樂	c=11 d=1 t=681903
kuai pao 	快跑	c=2 d=1 t=742797
kuai qian 	塊錢	c=2 d=1 t=367214
kuai ru zhi 	快入職	c=1 d=1 t=293030
kuai she ji 	快設計	c=7 d=1 t=104198
kuai shou 	快手	c=46 d=1.20393 t=734632
kuai shu 	快書	c=1 d=1 t=12846
kuai su 	快速	c=214 d=1.54881 t=738096
kuai su fa zhan 	快速發展	c=1 d=1 t=199440
kuai yao 	快要	c=1 d=1 t=660068
kuai ying yong 	快應用	c=1 d=1 t=275276
kuai yuan 	快元	c=1 d=1 t=289419
kuai zhao 	快照	c=11 d=1 t=693925
kuai zi 	筷子	c=1 d=1 t=641439
kuan 	寬	c=5 d=1 t=615168
kuan 	款	c=7 d=2.19473 t=574746
kuan dai 	寬帶	c=2 d=1 t=675779
kuan du 	寬度	c=3 d=1 t=602101
kuan fan 	寬泛	c=1 d=1 t=133969
kuan gong 	款共	c=1 d=1 t=317266
kuan shi 	款式	c=1 d=1 t=104990
kuan song 	寬鬆	c=3 d=1 t=364985
kuan xiang 	款項	c=1 d=1 t=570493
kuang 	框	c=7 d=1 t=744324
kuang 	狂	c=0 d=0.1 t=467175
kuang 	礦	c=1 d=1 t=467177
kuang gong 	曠工	c=1 d=1 t=317267
kuang jia 	框架	c=306 d=1 t=734680
kuang quan shui 	礦泉水	c=3 d=1 t=690313
kuang re 	狂熱	c=1 d=1 t=583613
kuang shua 	狂刷	c=1 d=1 t=698714
kuang su 	狂素	c=1 d=1 t=547415
kuang sui 	狂歲	c=1 d=1 t=544676
kuang xuan 	框選	c=1 d=1 t=7924
kui 	奎	c=2 d=1 t=266068
kui 	虧	c=3 d=1 t=479341
kui bei 	虧被	c=1 d=1 t=421139
kui ben 	虧本	c=1 d=1 t=307570
kui da 	虧大	c=4 d=1 t=408148
kui dai 	虧待	c=1 d=1 t=16891
